HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.objects_to_find,Input.image_url,Answer.annotation_data,Answer.label,Approve,Reject
3RKHNXPHGW6R2QHQI8II7BZA7UIUKS,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,39O5D9O87U2S6IQD1DAKK3RMS5EC3J,A11NUW5OVADGYU,Submitted,Mon Aug 28 16:30:47 PDT 2017,Mon Aug 28 16:30:51 PDT 2017,Sat Sep 02 16:30:51 PDT 2017,,,,4,100% (20/20),100% (20/20),100% (20/20),Tail,class01_subclass16/SPCBench-1487099282-000001-001-560-0-120-152-.png,"[{""left"":84,""top"":136,""width"":1,""height"":1,""label"":""head""}]",Head,,
3RKHNXPHGW6R2QHQI8II7BZA7UIUKS,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3ATTHHXXWBYVZJJRDCDU2MELC5ZIXR,A34ZESV383SM26,Submitted,Mon Aug 28 16:30:29 PDT 2017,Mon Aug 28 16:30:46 PDT 2017,Sat Sep 02 16:30:46 PDT 2017,,,,17,100% (44/44),100% (44/44),0% (0/0),Tail,class01_subclass16/SPCBench-1487099282-000001-001-560-0-120-152-.png,"[{""left"":93,""top"":99,""width"":1,""height"":1,""label"":""head""}]",Head,,
3RKHNXPHGW6R2QHQI8II7BZA7UIUKS,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3AUQQEL7U63SOZXG97N68XH4A0C0VD,A3EAOSOUQZFVFS,Submitted,Mon Aug 28 16:37:23 PDT 2017,Mon Aug 28 16:37:26 PDT 2017,Sat Sep 02 16:37:26 PDT 2017,,,,3,98% (96/98),98% (96/98),98% (96/98),Tail,class01_subclass16/SPCBench-1487099282-000001-001-560-0-120-152-.png,"[{""left"":90,""top"":107,""width"":1,""height"":1,""label"":""head""}]",Head,,
3RKHNXPHGW6R2QHQI8II7BZA7UIUKS,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3TE3O85731I7R2JDFAMAQOLGMSJ2R6,A3N76F2ZPQETH5,Submitted,Mon Aug 28 16:37:06 PDT 2017,Mon Aug 28 16:37:13 PDT 2017,Sat Sep 02 16:37:13 PDT 2017,,,,7,100% (1/1),100% (1/1),100% (1/1),Tail,class01_subclass16/SPCBench-1487099282-000001-001-560-0-120-152-.png,"[{""left"":81,""top"":168,""width"":1,""height"":1,""label"":""head""}]",Head,,
3RKHNXPHGW6R2QHQI8II7BZA7UIUKS,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3ZSANO2JCGH3TBV2IU1M0HK1HY4SF1,A18VXKX5URAA4G,Submitted,Mon Aug 28 16:28:41 PDT 2017,Mon Aug 28 16:28:52 PDT 2017,Sat Sep 02 16:28:52 PDT 2017,,,,11,67% (2/3),67% (2/3),0% (0/1),Tail,class01_subclass16/SPCBench-1487099282-000001-001-560-0-120-152-.png,"[{""left"":87,""top"":126,""width"":1,""height"":1,""label"":""head""}]",Head,,
35U0MRQMUJHA5WR5LQKGAEI2561OVV,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,34T446B1C1OWPQRGIQS1I5TFPTUC0O,A11NUW5OVADGYU,Submitted,Mon Aug 28 16:30:40 PDT 2017,Mon Aug 28 16:30:46 PDT 2017,Sat Sep 02 16:30:46 PDT 2017,,,,6,100% (20/20),100% (20/20),100% (20/20),Tail,class01_subclass16/SPCBench-1487099283-000005-001-116-0-264-144-.png,"[{""left"":187,""top"":65,""width"":1,""height"":1,""label"":""head""}]",Head,,
35U0MRQMUJHA5WR5LQKGAEI2561OVV,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3F0BG9B9MQXNA4S5ZHVZUBVL0VK7YT,A0339715IMIIMD5R04VT,Submitted,Mon Aug 28 16:37:20 PDT 2017,Mon Aug 28 16:37:24 PDT 2017,Sat Sep 02 16:37:24 PDT 2017,,,,4,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass16/SPCBench-1487099283-000005-001-116-0-264-144-.png,"[{""left"":158,""top"":73,""width"":1,""height"":1,""label"":""head""}]",Head,,
35U0MRQMUJHA5WR5LQKGAEI2561OVV,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3R0T90IZ1TMT0U21WSH43XGVWAKGCW,A1VSFVHC6N3FSB,Submitted,Mon Aug 28 16:33:56 PDT 2017,Mon Aug 28 16:34:00 PDT 2017,Sat Sep 02 16:34:00 PDT 2017,,,,4,100% (8/8),100% (8/8),100% (8/8),Tail,class01_subclass16/SPCBench-1487099283-000005-001-116-0-264-144-.png,"[{""left"":158,""top"":69,""width"":1,""height"":2,""label"":""head""}]",Head,,
35U0MRQMUJHA5WR5LQKGAEI2561OVV,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3TPZPLC3M1MB07ZH6IWQ43QTROSP39,A3N76F2ZPQETH5,Submitted,Mon Aug 28 16:27:22 PDT 2017,Mon Aug 28 16:27:46 PDT 2017,Sat Sep 02 16:27:46 PDT 2017,,,,24,100% (1/1),100% (1/1),100% (1/1),Tail,class01_subclass16/SPCBench-1487099283-000005-001-116-0-264-144-.png,"[{""left"":144,""top"":101,""width"":1,""height"":1,""label"":""head""}]",Head,,
35U0MRQMUJHA5WR5LQKGAEI2561OVV,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:54 PDT 2017,5,BatchId:2920793;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:54 PDT 2017,,,3YDTZAI2WYQT1BZJLUQJDC0128L418,A20ZOROWJ3U0TW,Submitted,Mon Aug 28 16:36:01 PDT 2017,Mon Aug 28 16:36:06 PDT 2017,Sat Sep 02 16:36:06 PDT 2017,,,,5,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass16/SPCBench-1487099283-000005-001-116-0-264-144-.png,"[{""left"":160,""top"":69,""width"":1,""height"":1,""label"":""head""}]",Head,,
